//Poses must be given in articular space
//Format:
//pose_name value0 value1 value2 value3 value4 value5 value6

door_1		  0.6    0.0    0.0    0.7     0.0   0.3   1.5708
door_2        0.6   0.3     0.0     1.04    1.8     1.3     0.0
home         0.0    0.0    0.0    0.0    0.0     0.0    1.5707
navigation  -1.4    0.0    0.0    2.07   0.0     0.9    0.0
box          0.3    0.6    -1.3    1.7   0.0     0.0    0.0
pre_nav      -0.3    0.0    0.0    0.8    0.0     0.4    0.0
take         0.3    0.3   -0.4    1.47   0.4     0.3   -0.2
table	  	 0.0    0.3    1.0    0.7    0.0     0.0   -0.5
put1	    -0.2    0.0    0.0    2.35    0.0     0.6    0.0
put1_roll		 -0.7    0.0    0.0    2.35     0.0    0.9   1.5708
place_bag    0.6    0.0    0.0    2.4    0.0    -1.4    0.0
place_bag_floor     1.0    0.0    0.0    0.5     0.0   -1.5   0.0
shelf_1		 1.2    0.0    0.0    2.0    0.0     0.0    0.0
shelf_2		 1.2    0.0    0.0    2.0    0.0    -1.5    0.0
dish_grasp		  -0.7    0.0    0.0    2.342     0.0   -1.7   0.0
place_dishwasher	0.747231	-0.239359	-0.286924	0.902201	0.0322215	-1.63716	-1.28272
put_storing		  0.6    0.0    0.0    0.7     0.0   0.3   0.0
put_storing1		  0.5    -0.1    -0.5    1.6     0.1   -0.2   -0.1
put_storing2		  0.5    -0.1    -0.5    1.6     0.1   -0.2   -0.1
#offer_seat	-0.4	0.0	0.0	1.8	0.0	0.0	0.0
offer_seat	-0.3	0.3	-0.4	1.8	-1.3	0.0	0.0
#offer_seat1	0.6	-0.5	-1.0	1.1	-0.9	0.6	0.0
#offer_seat2	-0.3	0.2	-0.9	1.9	1.3	0.0	-1.2
grasped_object	    -0.2    0.0    0.0    2.35    0.0     0.6    0.0
//put_storing_L1_P1	-0.288459       -0.102802       -0.316077        1.32568 -0.11968        0.691994        0.147298
//put_storing_L1_P2	-0.026084       0.0230153       -0.0782521       0.201001 0.00153436    -0.397398        0.00153436
//put_storing_L2_P1	-0.349833      -0.176451        -0.394329        2.23556 0.0122748      -0.162642       -0.0782521
//put_storing_L2_P2	0.222482       -0.00460307      -0.561574        1.51134 0.021481       -0.116611       -0.156504
//put_storing_L3_P1	0.127351	0.185657	0.0782521	2.0545	0.242428	0.850033	-0.343696
//put_storing_L3_P2	-0.0276184      0.0230153       -0.0782521       0.201001 0             -0.397398        0.00306871

#put_storing_L1_P1       -0.0874583      0.0184123       0.0935957       1.05717 0.00613742      0.530887        0.0
#put_storing_L1_P2       0.395864        0.0245497       0.0138092       0.314543        0.00920613      0.668979        0.0
#put_storing_L2_P1       -0.0613742      -0.0567711      0.0981987       1.95017 -0.00306871     -0.21481        0.0
#put_storing_L2_P2       0.145764        -0.0383589      0.0920613       1.61721 -0.00306871     -0.133489       0.0
#put_storing_L3_P1       -0.573849       -0.0414276      0.125817        1.77065 0.0107405       1.28732 0.0
#put_storing_L3_P2       0.0552368       -0.0168779      0.0782521       2.0545  -0.0644429      1.10934 0.0
#put_storing_L3_P3       0.576918         0.0644429      0.0322215       2.10053 -0.150367      -0.842361   0.243962

put_storing_L1_P1       0.0107405       -0.0797865      -0.402001        1.89033 -0.141161       -0.182588       0.0291528
put_storing_L1_P2       0.36978          0.00613742     -0.467978        1.44997 -0.138092       -0.170313       -0.0460307
put_storing_L2_P1       0.0813208       -0.0199466      -0.389726        2.18799 -0.0813208      0.452635        0.00153436
put_storing_L2_P2       0.593796         0.162642       -0.420413        1.96451 -0.0813208      -0.747231       -0.0675116
put_storing_L3_P1       0.242428        -0.0337558      -0.270047        2.13889 -0.047565       0.762575        0.0813208
put_storing_L3_P2       0.81014          0.167245        0.227085        2.24169  0.0168779       -0.303802       0.0138092
put_storing_L3_P3       1.163575        0.168779        0.256237        2.0545  0.00920613      -1.10934        -0.0168779

person_presentation	0	0	0.3	2.1	1.4	0.6	0
